520 5230848 6374 
521 5237222 6346 
522 5243568 6343 
523 5249911 6352 
524 5256263 6359 
525 5262622 6354 
526 5268976 6376 
527 5275352 6371 
528 5281723 6302 
529 5288025 6321 
530 5294346 6396 
531 5300742 6303 
532 5307045 6328 
533 5313373 6334 
534 5319707 6330 
535 5326037 6316 
536 5332353 6288 
537 5338641 6327 
538 5344968 6292 
539 5351260 6303 
540 5357563 6295 
541 5363858 6294 
542 5370152 6273 
543 5376425 6261 
544 5382686 6290 
545 5388976 6298 
546 5395274 6249 
547 5401523 6257 
548 5407780 6207 
549 5413987 6246 
550 5420233 6238 
551 5426471 6222 
552 5432693 6193 
553 5438886 6174 
554 5445060 6182 
555 5451242 6232 
556 5457474 6165 
557 5463639 6166 
558 5469805 6136 
559 5475941 6117 
560 5482058 6108 
561 5488166 6162 
562 5494328 6090 
563 5500418 6089 
564 5506507 6088 
565 5512595 6085 
566 5518680 6083 
567 5524763 6089 
568 5530852 6044 
569 5536896 6060 
570 5542956 6026 
571 5548982 6030 
572 5555012 6029 
573 5561041 5995 
574 5567036 5961 
575 5572997 5997 
576 5578994 5962 
577 5584956 5962 
578 5590918 5944 
579 5596862 5930 
580 5602792 5939 
581 5608731 5995 
582 5614726 5911 
583 5620637 5939 
584 5626576 5910 
585 5632486 5964 
586 5638450 5892 
587 5644342 5899 
588 5650241 5887 
589 5656128 5884 
590 5662012 5893 
591 5667905 5891 
592 5673796 5885 
593 5679681 5853 
594 5685534 5847 
595 5691381 5880 
596 5697261 5838 
597 5703099 5843 
598 5708942 5813 
599 5714755 5832 
600 5720587 5840 
601 5726427 5816 
602 5732243 5807 
603 5738050 5804 
604 5743854 5813 
605 5749667 5810 
606 5755477 5828 
607 5761305 5817 
608 5767122 5791 
609 5772913 5816 
610 5778729 5787 
611 5784516 5783 
612 5790299 5769 
613 5796068 5802 
614 5801870 5792 
615 5807662 5765 
616 5813427 5729 
617 5819156 5754 
618 5824910 5784 
619 5830694 5759 
620 5836453 5759 
621 5842212 5727 
622 5847939 5717 
623 5853656 5751 
624 5859407 5700 
625 5865107 5747 
626 5870854 5696 
627 5876550 5690 
628 5882240 5699 
629 5887939 5696 
630 5893635 5699 
631 5899334 5694 
632 5905028 5661 
633 5910689 5706 
634 5916395 5690 
635 5922085 5706 
636 5927791 5676 
637 5933467 5647 
638 5939114 5680 
639 5944794 5685 
640 5950479 5621 
641 5956100 5607 
642 5961707 5613 
643 5967320 5626 
644 5972946 5618 
645 5978564 5595 
646 5984159 5579 
647 5989738 5573 
648 5995311 5580 
649 6000891 5548 
650 6006439 5544 
651 6011983 5557 
652 6017540 5521 
653 6023061 5559 
654 6028620 5537 
655 6034157 5494 
656 6039651 5560 
657 6045211 5501 
658 6050712 5534 
659 6056246 5498 
660 6061744 5542 
661 6067286 5512 
662 6072798 5501 
663 6078299 5540 
664 6083839 5496 
665 6089335 5493 
